2018-03-17 02:39:37,868 - Model_1 - INFO - start training model...
2018-03-17 02:41:22,453 - Model_1 - INFO - batch_round: 176, cost in this train batch=5.703505039215088
2018-03-17 02:41:22,997 - Model_1 - INFO - batch_round: 177, cost in this train batch=5.703561305999756
2018-03-17 02:41:23,604 - Model_1 - INFO - batch_round: 178, cost in this train batch=5.703427314758301
2018-03-17 02:41:24,166 - Model_1 - INFO - batch_round: 179, cost in this train batch=5.703719615936279
2018-03-17 02:41:24,728 - Model_1 - INFO - batch_round: 180, cost in this train batch=5.703331470489502
2018-03-17 02:41:25,277 - Model_1 - INFO - batch_round: 181, cost in this train batch=5.703059673309326
2018-03-17 02:41:25,836 - Model_1 - INFO - batch_round: 182, cost in this train batch=5.7039475440979
2018-03-17 02:41:26,742 - Model_1 - INFO - batch_round: 183, cost in this train batch=5.704275131225586
2018-03-17 02:41:27,511 - Model_1 - INFO - batch_round: 184, cost in this train batch=5.704234600067139
2018-03-17 02:41:28,207 - Model_1 - INFO - batch_round: 185, cost in this train batch=5.703562259674072
2018-03-17 02:41:28,956 - Model_1 - INFO - batch_round: 186, cost in this train batch=5.703649997711182
2018-03-17 02:41:29,697 - Model_1 - INFO - batch_round: 187, cost in this train batch=5.70404052734375
2018-03-17 02:41:30,346 - Model_1 - INFO - batch_round: 188, cost in this train batch=5.704041957855225
2018-03-17 02:41:30,973 - Model_1 - INFO - batch_round: 189, cost in this train batch=5.703212738037109
2018-03-17 02:41:31,519 - Model_1 - INFO - batch_round: 190, cost in this train batch=5.703753471374512
2018-03-17 02:41:32,066 - Model_1 - INFO - batch_round: 191, cost in this train batch=5.7038469314575195
2018-03-17 02:41:32,598 - Model_1 - INFO - batch_round: 192, cost in this train batch=5.703754425048828
2018-03-17 02:41:33,134 - Model_1 - INFO - batch_round: 193, cost in this train batch=5.703669548034668
2018-03-17 02:41:33,667 - Model_1 - INFO - batch_round: 194, cost in this train batch=5.703065395355225
2018-03-17 02:41:34,236 - Model_1 - INFO - batch_round: 195, cost in this train batch=5.703665256500244
2018-03-17 02:41:34,825 - Model_1 - INFO - batch_round: 196, cost in this train batch=5.704427719116211
2018-03-17 02:41:35,392 - Model_1 - INFO - batch_round: 197, cost in this train batch=5.703968048095703
2018-03-17 02:41:35,948 - Model_1 - INFO - batch_round: 198, cost in this train batch=5.703726291656494
2018-03-17 02:41:36,497 - Model_1 - INFO - batch_round: 199, cost in this train batch=5.703691005706787
2018-03-17 02:41:37,029 - Model_1 - INFO - batch_round: 200, cost in this train batch=5.703686714172363
2018-03-17 02:41:38,215 - Model_1 - INFO - save weight
2018-03-17 02:41:38,742 - Model_1 - INFO - batch_round: 201, cost in this train batch=5.704333305358887
2018-03-17 02:41:39,275 - Model_1 - INFO - batch_round: 202, cost in this train batch=5.703911304473877
2018-03-17 02:41:39,801 - Model_1 - INFO - batch_round: 203, cost in this train batch=5.703512668609619
2018-03-17 02:41:40,330 - Model_1 - INFO - batch_round: 204, cost in this train batch=5.7037153244018555
2018-03-17 02:41:40,863 - Model_1 - INFO - batch_round: 205, cost in this train batch=5.704007148742676
2018-03-17 02:41:41,391 - Model_1 - INFO - batch_round: 206, cost in this train batch=5.7035908699035645
2018-03-17 02:41:41,918 - Model_1 - INFO - batch_round: 207, cost in this train batch=5.703479766845703
2018-03-17 02:41:42,446 - Model_1 - INFO - batch_round: 208, cost in this train batch=5.704467296600342
2018-03-17 02:41:42,985 - Model_1 - INFO - batch_round: 209, cost in this train batch=5.703105926513672
2018-03-17 02:41:43,515 - Model_1 - INFO - batch_round: 210, cost in this train batch=5.703632831573486
2018-03-17 02:41:44,049 - Model_1 - INFO - batch_round: 211, cost in this train batch=5.703402042388916
2018-03-17 02:41:44,610 - Model_1 - INFO - batch_round: 212, cost in this train batch=5.703682899475098
2018-03-17 02:41:45,143 - Model_1 - INFO - batch_round: 213, cost in this train batch=5.703951358795166
2018-03-17 02:41:45,679 - Model_1 - INFO - batch_round: 214, cost in this train batch=5.704249858856201
2018-03-17 02:41:46,211 - Model_1 - INFO - batch_round: 215, cost in this train batch=5.703574180603027
2018-03-17 02:41:46,750 - Model_1 - INFO - batch_round: 216, cost in this train batch=5.703598499298096
2018-03-17 02:41:47,281 - Model_1 - INFO - batch_round: 217, cost in this train batch=5.704020977020264
2018-03-17 02:41:47,815 - Model_1 - INFO - batch_round: 218, cost in this train batch=5.703570365905762
2018-03-17 02:41:48,352 - Model_1 - INFO - batch_round: 219, cost in this train batch=5.704497337341309
2018-03-17 02:41:48,886 - Model_1 - INFO - batch_round: 220, cost in this train batch=5.703765869140625
2018-03-17 02:41:49,422 - Model_1 - INFO - batch_round: 221, cost in this train batch=5.703245639801025
2018-03-17 02:41:49,962 - Model_1 - INFO - batch_round: 222, cost in this train batch=5.703778266906738
2018-03-17 02:41:50,497 - Model_1 - INFO - batch_round: 223, cost in this train batch=5.703611373901367
2018-03-17 02:41:51,029 - Model_1 - INFO - batch_round: 224, cost in this train batch=5.703364849090576
2018-03-17 02:41:51,571 - Model_1 - INFO - batch_round: 225, cost in this train batch=5.703805923461914
2018-03-17 02:41:52,102 - Model_1 - INFO - batch_round: 226, cost in this train batch=5.703423500061035
2018-03-17 02:41:52,648 - Model_1 - INFO - batch_round: 227, cost in this train batch=5.703619956970215
2018-03-17 02:41:53,181 - Model_1 - INFO - batch_round: 228, cost in this train batch=5.7036542892456055
2018-03-17 02:41:53,713 - Model_1 - INFO - batch_round: 229, cost in this train batch=5.703607559204102
2018-03-17 02:41:54,244 - Model_1 - INFO - batch_round: 230, cost in this train batch=5.703580856323242
2018-03-17 02:41:54,776 - Model_1 - INFO - batch_round: 231, cost in this train batch=5.703890800476074
2018-03-17 02:41:55,305 - Model_1 - INFO - batch_round: 232, cost in this train batch=5.703537464141846
2018-03-17 02:41:55,842 - Model_1 - INFO - batch_round: 233, cost in this train batch=5.7041544914245605
2018-03-17 02:41:56,371 - Model_1 - INFO - batch_round: 234, cost in this train batch=5.703518390655518
